scenario,repeat,policy,globalAccuracy,cost,strongRouteRate,routineAccuracy,routineStrongRate,importantAccuracy,importantStrongRate,criticalAccuracy,criticalStrongRate
calibrated_control,427,global_threshold,0.973,0.004770666666666667,0.04816666666666667,0.9834593572778828,0.031899810964083175,0.9607508532423208,0.06825938566552901,0.8861386138613861,0.1782178217821782
calibrated_control,427,stratum_threshold,0.98075,0.005377333333333334,0.08608333333333333,0.9834593572778828,0.031899810964083175,0.984641638225256,0.09522184300341296,0.9240924092409241,0.7986798679867987
calibrated_control,427,oracle,0.9958333333333333,0.005096,0.0685,0.9978733459357277,0.04489603024574669,0.99419795221843,0.09931740614334471,0.9752475247524752,0.24917491749174916
calibrated_control,428,strong_only,0.9555833333333333,0.02,1,0.9694437813320601,1,0.9307488402915838,1,0.8874172185430463,1
calibrated_control,428,global_threshold,0.9723333333333334,0.004784,0.049,0.9828121269992839,0.031511100501312964,0.9655400927766733,0.06991385023194169,0.8609271523178808,0.1870860927152318
calibrated_control,428,stratum_threshold,0.97875,0.0053493333333333335,0.08433333333333333,0.9828121269992839,0.031511100501312964,0.9801192842942346,0.08548707753479125,0.9155629139072847,0.8112582781456954
calibrated_control,428,oracle,0.9955,0.0051066666666666665,0.06916666666666667,0.998328956791597,0.04607304846025304,0.9937044400265076,0.09343936381709742,0.9652317880794702,0.2682119205298013
calibrated_control,429,strong_only,0.9504166666666667,0.02,1,0.9595983461311282,1,0.9342059937995177,1,0.9018987341772152,1
calibrated_control,429,global_threshold,0.9716666666666667,0.004830666666666667,0.051916666666666667,0.9826343768458358,0.03272297696396929,0.961763692731657,0.07371684464347227,0.870253164556962,0.2088607594936709
calibrated_control,429,stratum_threshold,0.979,0.005422666666666667,0.08891666666666667,0.9826343768458358,0.03272297696396929,0.9824319669307613,0.09541853255253187,0.9145569620253164,0.8117088607594937
calibrated_control,429,oracle,0.9953333333333333,0.0051533333333333336,0.07208333333333333,0.9978735971647962,0.04607206142941524,0.9934550465036169,0.10024112986565621,0.9699367088607594,0.2911392405063291
calibrated_control,430,strong_only,0.9546666666666667,0.02,1,0.9664405569439486,1,0.934040437520716,1,0.8913793103448275,1
