repeat,scenario,mode,offered_rps,issued_requests,completed_by_window_end,achieved_rps,p50_ms,p95_ms,p99_ms,max_ms,slo_pass
90,no-pause-80,open_loop,80,3969,3964,79.38,16.695991499535012,55.80777440419479,86.21353315152373,132.61709656933817,true
90,no-pause-80,closed_loop,80,3959,3956,79.18,9.989148306543939,21.418968543061055,28.599675132503762,45.40309052075827,true
91,no-pause-80,open_loop,80,4083,4081,81.66,17.590496067383356,54.81424066346517,76.76514647039221,129.98930851944897,true
91,no-pause-80,closed_loop,80,3959,3959,79.18,9.884537290134176,20.39997246825442,26.73589141849334,44.1364188145526,true
92,no-pause-80,open_loop,80,3928,3926,78.56,17.233354998501454,58.905826757541945,94.28466438165924,112.5031393299505,true
92,no-pause-80,closed_loop,80,3953,3951,79.06,10.21517466932346,22.092299162763084,28.786073021976335,49.667060293060786,true
93,no-pause-80,open_loop,80,4036,4036,80.72,17.517991964818066,63.695830662789376,83.08888593134907,108.60628261334205,true
93,no-pause-80,closed_loop,80,3957,3956,79.14,10.046448864828562,21.096489164061495,30.762876406588475,40.87613073843386,true
94,no-pause-80,open_loop,80,3983,3981,79.66,16.79263526428622,55.52234670407779,91.53416921135067,134.75418025209365,true
94,no-pause-80,closed_loop,80,3959,3958,79.18,9.97176846331422,20.371796144831023,27.287057664121676,40.39996409321611,true
95,no-pause-80,open_loop,80,3974,3974,79.48,15.856500216053973,52.767704238132865,74.26708630457142,110.26138436773545,true
95,no-pause-80,closed_loop,80,3959,3957,79.18,9.95021555061976,21.214320049963135,28.550691289026872,45.08000144644757,true
96,no-pause-80,open_loop,80,3991,3988,79.82,16.506172457899083,50.88012302519928,67.39983478353679,107.25700161996792,true
96,no-pause-80,closed_loop,80,3958,3957,79.16,10.152196621056646,20.427496249638352,25.496106046357454,37.8059230623694,true
97,no-pause-80,open_loop,80,3951,3951,79.02,16.843405783922208,54.723135103871755,74.82287959577661,105.4527423028594,true
97,no-pause-80,closed_loop,80,3954,3953,79.08,10.195351279740862,21.597156812807953,28.331271087223286,38.97413104365114,true
98,no-pause-80,open_loop,80,3913,3912,78.26,16.540009056530835,53.70540544544929,73.56415814807042,99.36236892967281,true
98,no-pause-80,closed_loop,80,3954,3953,79.08,10.133446173571429,21.553183523134066,27.6749037569316,42.614605056482105,true
99,no-pause-80,open_loop,80,3926,3926,78.52,16.608209881502262,53.22647644970857,74.8093168661544,106.27567446073226,true
99,no-pause-80,closed_loop,80,3953,3953,79.06,10.257292135618627,21.76777816876711,29.192765981562843,38.24523057249462,true
100,no-pause-80,open_loop,80,4013,4013,80.26,16.666812467876298,50.391815421353385,71.19378273274924,89.15093649696064,true
100,no-pause-80,closed_loop,80,3962,3961,79.24,10.025133285598713,19.91203658271843,27.392754076834535,37.220730217748496,true
101,no-pause-80,open_loop,80,3870,3869,77.4,16.229476061300375,50.0179345260367,67.25271300358145,89.46305594417208,true
101,no-pause-80,closed_loop,80,3944,3942,78.88,10.382973057749041,23.59171960074673,32.0852428010985,46.84431319023133,true
102,no-pause-80,open_loop,80,3930,3930,78.6,15.945382621990575,53.77075277883705,76.73992969264691,105.18427019083538,true
102,no-pause-80,closed_loop,80,3947,3947,78.94,10.172577189019648,23.17568406375358,32.32809360610918,47.48078283592258,true
