scenario,repeat,policy,fieldAccuracy,wholeAccuracy,longAccuracy,criticalAccuracy,approved,falseApproval
mixed-correlated,60,field-average,0.9941958887545345,0.9473333333333334,0.908745247148289,0.9945,1,1
mixed-correlated,60,whole-call,0.9941958887545345,0.9473333333333334,0.908745247148289,0.9945,0,0
mixed-correlated,60,joint-long-schema,0.9941958887545345,0.9473333333333334,0.908745247148289,0.9945,0,0
mixed-correlated,61,field-average,0.9948955223880597,0.9496666666666667,0.9096045197740112,0.9953333333333333,1,1
mixed-correlated,61,whole-call,0.9948955223880597,0.9496666666666667,0.9096045197740112,0.9953333333333333,0,0
mixed-correlated,61,joint-long-schema,0.9948955223880597,0.9496666666666667,0.9096045197740112,0.9953333333333333,0,0
mixed-correlated,62,field-average,0.9951306413301663,0.9516666666666667,0.9148737137511693,0.9941666666666666,1,0
mixed-correlated,62,whole-call,0.9951306413301663,0.9516666666666667,0.9148737137511693,0.9941666666666666,1,0
mixed-correlated,62,joint-long-schema,0.9951306413301663,0.9516666666666667,0.9148737137511693,0.9941666666666666,1,0
mixed-correlated,63,field-average,0.9947494033412888,0.9516666666666667,0.9132040627885504,0.9951666666666666,1,0
mixed-correlated,63,whole-call,0.9947494033412888,0.9516666666666667,0.9132040627885504,0.9951666666666666,1,0
mixed-correlated,63,joint-long-schema,0.9947494033412888,0.9516666666666667,0.9132040627885504,0.9951666666666666,1,0
mixed-correlated,64,field-average,0.9948609790874525,0.9493333333333334,0.9104744852282901,0.9958333333333333,1,1
mixed-correlated,64,whole-call,0.9948609790874525,0.9493333333333334,0.9104744852282901,0.9958333333333333,0,0
mixed-correlated,64,joint-long-schema,0.9948609790874525,0.9493333333333334,0.9104744852282901,0.9958333333333333,0,0
mixed-correlated,65,field-average,0.9944605009633911,0.9493333333333334,0.9049429657794676,0.9943333333333333,1,1
mixed-correlated,65,whole-call,0.9944605009633911,0.9493333333333334,0.9049429657794676,0.9943333333333333,0,0
mixed-correlated,65,joint-long-schema,0.9944605009633911,0.9493333333333334,0.9049429657794676,0.9943333333333333,0,0
mixed-correlated,66,field-average,0.9944397943321774,0.952,0.9164292497625831,0.995,1,0
mixed-correlated,66,whole-call,0.9944397943321774,0.952,0.9164292497625831,0.995,1,0
mixed-correlated,66,joint-long-schema,0.9944397943321774,0.952,0.9164292497625831,0.995,1,0
mixed-correlated,67,field-average,0.9949318209243393,0.952,0.9163533834586466,0.995,1,0
mixed-correlated,67,whole-call,0.9949318209243393,0.952,0.9163533834586466,0.995,1,0
mixed-correlated,67,joint-long-schema,0.9949318209243393,0.952,0.9163533834586466,0.995,1,0
mixed-correlated,68,field-average,0.9946051838456902,0.9466666666666667,0.8968481375358166,0.9948333333333333,1,1
mixed-correlated,68,whole-call,0.9946051838456902,0.9466666666666667,0.8968481375358166,0.9948333333333333,0,0
mixed-correlated,68,joint-long-schema,0.9946051838456902,0.9466666666666667,0.8968481375358166,0.9948333333333333,0,0
mixed-correlated,69,field-average,0.9937181354697742,0.944,0.900287631831256,0.9938333333333333,1,1
mixed-correlated,69,whole-call,0.9937181354697742,0.944,0.900287631831256,0.9938333333333333,0,0
mixed-correlated,69,joint-long-schema,0.9937181354697742,0.944,0.900287631831256,0.9938333333333333,0,0
mixed-correlated,70,field-average,0.9943502824858758,0.9496666666666667,0.9101019462465245,0.994,1,1
mixed-correlated,70,whole-call,0.9943502824858758,0.9496666666666667,0.9101019462465245,0.994,0,0
mixed-correlated,70,joint-long-schema,0.9943502824858758,0.9496666666666667,0.9101019462465245,0.994,0,0
mixed-correlated,71,field-average,0.9943014705882353,0.9503333333333334,0.9095378564405113,0.9951666666666666,1,0
mixed-correlated,71,whole-call,0.9943014705882353,0.9503333333333334,0.9095378564405113,0.9951666666666666,1,0
mixed-correlated,71,joint-long-schema,0.9943014705882353,0.9503333333333334,0.9095378564405113,0.9951666666666666,1,0
mixed-correlated,72,field-average,0.9954007884362681,0.9583333333333334,0.9209783631232361,0.9958333333333333,1,0
mixed-correlated,72,whole-call,0.9954007884362681,0.9583333333333334,0.9209783631232361,0.9958333333333333,1,0
mixed-correlated,72,joint-long-schema,0.9954007884362681,0.9583333333333334,0.9209783631232361,0.9958333333333333,1,0
mixed-correlated,73,field-average,0.994396656166707,0.9503333333333334,0.9170684667309547,0.9956666666666667,1,0
mixed-correlated,73,whole-call,0.994396656166707,0.9503333333333334,0.9170684667309547,0.9956666666666667,1,0
mixed-correlated,73,joint-long-schema,0.994396656166707,0.9503333333333334,0.9170684667309547,0.9956666666666667,1,0
mixed-correlated,74,field-average,0.9945941048562454,0.9483333333333334,0.8956197576887233,0.9953333333333333,1,1
mixed-correlated,74,whole-call,0.9945941048562454,0.9483333333333334,0.8956197576887233,0.9953333333333333,0,0
mixed-correlated,74,joint-long-schema,0.9945941048562454,0.9483333333333334,0.8956197576887233,0.9953333333333333,0,0
mixed-correlated,75,field-average,0.9944756439995116,0.9473333333333334,0.9057492931196984,0.9941666666666666,1,1
