workload,rate,repeat,policy,throughputRps,dropRate,meanLatencySeconds,p95LatencySeconds,p99LatencySeconds,p95QueueWaitSeconds,shortP95LatencySeconds,longP95LatencySeconds,sloAttainment,oversubscribedFraction,meanActive
fixed-control,5.5,35,estimated-token-budget,4.503703703703704,0.1866220735785953,12.339349452411167,12.895569414123656,12.918964356598678,9.970569414123645,12.895569414123656,,0,0,12.836182382606951
fixed-control,5.5,35,estimated-budget-shortest-first,4.503703703703704,0.1866220735785953,12.339349452411167,12.895569414123656,12.918964356598678,9.970569414123645,12.895569414123656,,0,0,12.836182382606951
fixed-control,5.5,35,underestimated-token-budget,4.529629629629629,0.18193979933110369,15.052023289075759,15.80867153570668,15.841473588221163,9.959489610793447,15.80867153570668,,0,0.15566097849041236,25.18103663166814
fixed-control,5.5,35,overestimated-token-budget,4.492592592592593,0.18862876254180602,10.723016480063889,11.302408213562757,11.339855126435296,9.95503430394578,11.302408213562757,,0,0,5.971076088091986
fixed-control,5.5,35,oracle-token-budget,4.503703703703704,0.1866220735785953,12.339349452411167,12.895569414123656,12.918964356598678,9.970569414123645,12.895569414123656,,0,0,12.836182382606951
fixed-control,5.5,36,request-count-16,4.492592592592593,0.2189311010946555,12.95656201632036,13.576396875939139,13.596100025604969,9.97649014694133,13.576396875939139,,0,0,15.865246348862124
fixed-control,5.5,36,estimated-token-budget,4.481481481481482,0.22086284610431423,12.309609065752522,12.892444271445697,12.91918996380707,9.967444271445686,12.892444271445697,,0,0,12.931818622237882
fixed-control,5.5,36,estimated-budget-shortest-first,4.481481481481482,0.22086284610431423,12.309609065752522,12.892444271445697,12.91918996380707,9.967444271445686,12.892444271445697,,0,0,12.931818622237882
fixed-control,5.5,36,underestimated-token-budget,4.503703703703704,0.2169993560849968,14.826176480974883,15.812898355646013,15.840129356430793,9.964024250034441,15.812898355646013,,0,0.3672898193107542,25.46539082651754
fixed-control,5.5,36,overestimated-token-budget,4.470370370370371,0.22279459111397296,10.768728317913952,11.311680416263513,11.345023026717897,9.961680416263519,11.311680416263513,,0,0,5.985519238001367
fixed-control,5.5,36,oracle-token-budget,4.481481481481482,0.22086284610431423,12.309609065752522,12.892444271445697,12.91918996380707,9.967444271445686,12.892444271445697,,0,0,12.931818622237882
fixed-control,5.5,37,request-count-16,4.437037037037037,0.20504313205043131,13.087001686903111,13.557309485725341,13.58709464592313,9.957309485725347,13.557309485725341,,0,0,15.836446064862237
fixed-control,5.5,37,estimated-token-budget,4.42962962962963,0.20637027206370273,12.360767786287223,12.88258564425675,12.912928896728886,9.957585644256753,12.88258564425675,,0,0,12.90269409108573
fixed-control,5.5,37,estimated-budget-shortest-first,4.42962962962963,0.20637027206370273,12.360767786287223,12.88258564425675,12.912928896728886,9.957585644256753,12.88258564425675,,0,0,12.90269409108573
fixed-control,5.5,37,underestimated-token-budget,4.455555555555556,0.20172528201725282,15.120071225708012,15.806855777713409,15.842897057351479,9.957081759076999,15.806855777713409,,0,0.41218098339564113,25.563335958549928
fixed-control,5.5,37,overestimated-token-budget,4.42962962962963,0.20637027206370273,10.900688615429956,11.321902587205841,11.342621914323516,9.971902587205847,11.321902587205841,,0,0,5.976756708169948
fixed-control,5.5,37,oracle-token-budget,4.42962962962963,0.20637027206370273,12.360767786287223,12.88258564425675,12.912928896728886,9.957585644256753,12.88258564425675,,0,0,12.90269409108573
fixed-control,5.5,38,request-count-16,4.551851851851852,0.1946264744429882,12.43668319061461,13.556526613342896,13.594282255791313,9.956526613342902,13.556526613342896,,0,0,15.436864241326045
fixed-control,5.5,38,estimated-token-budget,4.551851851851852,0.1946264744429882,11.857766011245925,12.886514239626564,12.915478489446357,9.961514239626567,12.886514239626564,,0,0,12.581571648953537
fixed-control,5.5,38,estimated-budget-shortest-first,4.551851851851852,0.1946264744429882,11.857766011245925,12.886514239626564,12.915478489446357,9.961514239626567,12.886514239626564,,0,0,12.581571648953537
fixed-control,5.5,38,underestimated-token-budget,4.574074074074074,0.190694626474443,14.559589173237962,15.805327642778792,15.83935248419428,9.95536510372608,15.805327642778792,,0,0.23033096015618124,24.898101702860657
fixed-control,5.5,38,overestimated-token-budget,4.537037037037037,0.19724770642201836,10.428799551101589,11.310513487499122,11.339987671050437,9.960513487499128,11.310513487499122,,0.005714285714285714,0,5.878651321689487
fixed-control,5.5,38,oracle-token-budget,4.551851851851852,0.1946264744429882,11.857766011245925,12.886514239626564,12.915478489446357,9.961514239626567,12.886514239626564,,0,0,12.581571648953537
fixed-control,5.5,39,request-count-16,4.537037037037037,0.2003916449086162,12.902393739112036,13.57187837013143,13.593752580917965,9.97206166711159,13.57187837013143,,0,0,15.875628049293535
fixed-control,5.5,39,estimated-token-budget,4.533333333333333,0.2010443864229765,12.229704071253286,12.88797398304196,12.919131557014609,9.964435255398996,12.88797398304196,,0,0,12.942804371885599
fixed-control,5.5,39,estimated-budget-shortest-first,4.533333333333333,0.2010443864229765,12.229704071253286,12.88797398304196,12.919131557014609,9.964435255398996,12.88797398304196,,0,0,12.942804371885599
fixed-control,5.5,39,underestimated-token-budget,4.548148148148148,0.19843342036553524,14.949295682261681,15.805714161838239,15.843632737914263,9.959137910129556,15.805714161838239,,0,0.28485927008154555,25.48250542352484
fixed-control,5.5,39,overestimated-token-budget,4.514814814814815,0.20430809399477806,10.59453637958122,11.282587406925273,11.323583318807493,9.932587406925279,11.282587406925273,,0,0,5.98849608729567
fixed-control,5.5,39,oracle-token-budget,4.533333333333333,0.2010443864229765,12.229704071253286,12.88797398304196,12.919131557014609,9.964435255398996,12.88797398304196,,0,0,12.942804371885599
fixed-control,5.5,40,request-count-16,4.503703703703704,0.1710974778459441,12.707784412867504,13.548700892307068,13.589646217619247,9.948700892307045,13.548700892307068,,0,0,15.869225391928575
fixed-control,5.5,40,estimated-token-budget,4.5,0.17177914110429449,12.029621479808469,12.876807524447912,12.914819709658047,9.951807524447915,12.876807524447912,,0,0,12.935804378897254
fixed-control,5.5,40,estimated-budget-shortest-first,4.5,0.17177914110429449,12.029621479808469,12.876807524447912,12.914819709658047,9.951807524447915,12.876807524447912,,0,0,12.935804378897254
fixed-control,5.5,40,underestimated-token-budget,4.522222222222222,0.16768916155419222,14.688208582973065,15.787117855047796,15.83875651273354,9.937392613496712,15.787117855047796,,0,0.3702905754760628,25.456293237306834
fixed-control,5.5,40,overestimated-token-budget,4.488888888888889,0.1738241308793456,10.626755492662358,11.311414632295225,11.340318218421999,9.96141463229523,11.311414632295225,,0,0,5.988941074452188
fixed-control,5.5,40,oracle-token-budget,4.5,0.17177914110429449,12.029621479808469,12.876807524447912,12.914819709658047,9.951807524447915,12.876807524447912,,0,0,12.935804378897254
fixed-control,5.5,41,request-count-16,4.477777777777778,0.1831081081081081,12.93058149568368,13.559350303256196,13.590189104108148,9.95976819697701,13.559350303256196,,0,0,15.799116405417584
fixed-control,5.5,41,estimated-token-budget,4.477777777777778,0.1831081081081081,12.329497794648905,12.87974019109771,12.916716737255214,9.956606129126527,12.87974019109771,,0,0,12.853201756018963
fixed-control,5.5,41,estimated-budget-shortest-first,4.477777777777778,0.1831081081081081,12.329497794648905,12.87974019109771,12.916716737255214,9.956606129126527,12.87974019109771,,0,0,12.853201756018963
fixed-control,5.5,41,underestimated-token-budget,4.503703703703704,0.1783783783783784,15.06443712788094,15.80486602552395,15.84055282833043,9.95671180097068,15.80486602552395,,0,0.32054957173479154,25.397368403030303
