workload,rate,repeat,requests,mean_tokens,p50_tokens,p95_tokens,p99_tokens,long_fraction
heavy-tail,5.5,34,1664,959.3563701923077,286,4603,7787,0.20432692307692307
heavy-tail,5.5,35,1654,970.9891172914148,291,4779,8000,0.20193470374848851
heavy-tail,5.5,36,1587,878.9817265280403,283,4176,7400,0.1833648393194707
heavy-tail,5.5,37,1682,944.2853745541023,287,4505,7885,0.20214030915576695
heavy-tail,5.5,38,1670,976.2269461077844,282,4790,8000,0.20658682634730538
heavy-tail,5.5,39,1642,934.4147381242387,287,4572,7846,0.20158343483556637
heavy-tail,5.5,40,1677,918.3679189028027,279,4742,7748,0.18485390578413835
heavy-tail,5.5,41,1669,986.1629718394248,290,4924,8000,0.20011983223487118
heavy-tail,5.5,42,1596,968.187969924812,293,4841,8000,0.20488721804511278
heavy-tail,5.5,43,1574,992.3011435832275,289,4650,8000,0.21346886912325286
heavy-tail,5.5,44,1684,957.3610451306413,301,4517,8000,0.20605700712589073
heavy-tail,5.5,45,1651,1039.3852210781345,292,5281,8000,0.20835857056329496
heavy-tail,5.5,46,1666,913.3079231692677,287,4360,8000,0.19627851140456182
heavy-tail,5.5,47,1588,912.2758186397984,280,4483,7779,0.19710327455919396
heavy-tail,5.5,48,1604,939.0224438902743,276,4627,8000,0.20199501246882792
heavy-tail,5.5,49,1664,895.6370192307693,290,4142,7479,0.1935096153846154
heavy-tail,5.5,50,1658,913.3835946924005,284,4459,7687,0.19843184559710494
heavy-tail,5.5,51,1634,929.7564259485924,288,4569,7734,0.20318237454100369
heavy-tail,5.5,52,1692,983.9562647754137,292,4841,7745,0.2044917257683215
heavy-tail,5.5,53,1665,904.2864864864865,285,4459,7718,0.1975975975975976
heavy-tail,5.5,54,1584,969.251893939394,292,4773,8000,0.1994949494949495
heavy-tail,5.5,55,1674,969.5119474313022,297,4708,7824,0.20967741935483872
heavy-tail,5.5,56,1667,894.8908218356329,275,4614,7778,0.19016196760647872
heavy-tail,5.5,57,1597,983.8202880400752,291,4734,7929,0.2128991859737007
heavy-tail,5.5,58,1588,937.146725440806,289,4519,7522,0.1996221662468514
heavy-tail,5.5,59,1618,921.5278121137206,284,4518,7689,0.19530284301606923
heavy-tail,5.5,60,1639,965.6821232458816,280,4909,8000,0.20439292251372787
heavy-tail,5.5,61,1629,916.0220994475138,288,4800,7768,0.19152854511970535
heavy-tail,5.5,62,1643,893.7066342057212,286,4157,7318,0.2014607425441266
heavy-tail,5.5,63,1718,952.3474970896391,298,4715,7645,0.20430733410942956
heavy-tail,5.5,64,1662,928.1432009626956,280,4771,8000,0.18892900120336945
heavy-tail,5.5,65,1547,992.2559793148029,289,4848,8000,0.2087912087912088
heavy-tail,5.5,66,1625,935.2867692307692,280,4505,8000,0.19815384615384615
heavy-tail,5.5,67,1586,983.3631778058008,285,5004,8000,0.2030264817150063
heavy-tail,5.5,68,1608,980.556592039801,288,4666,8000,0.2058457711442786
heavy-tail,5.5,69,1658,915.6387213510253,283,4642,8000,0.18516284680337755
heavy-tail,5.5,70,1640,948.759756097561,288,4709,7884,0.19878048780487806
heavy-tail,5.5,71,1654,907.4885126964933,291,4290,8000,0.19407496977025393
heavy-tail,5.5,72,1706,938.7983587338804,286,4547,6775,0.2063305978898007
heavy-tail,5.5,73,1608,931.7182835820895,283,4466,7775,0.19962686567164178
heavy-tail,5.5,74,1589,969.6633102580239,296,4540,7766,0.21271239773442416
heavy-tail,5.5,75,1619,974.5151327980235,291,4537,8000,0.2100061766522545
heavy-tail,5.5,76,1645,930.7884498480244,290,4742,7400,0.19696048632218846
heavy-tail,5.5,77,1651,937.2870987280436,286,4525,8000,0.19987886129618412
heavy-tail,5.5,78,1584,1015.1818181818181,287,5013,8000,0.21654040404040403
heavy-tail,5.5,79,1666,953.4831932773109,286,4680,7782,0.20588235294117646
fixed-control,2.5,0,773,900,900,900,900,0
fixed-control,2.5,1,743,900,900,900,900,0
fixed-control,2.5,2,715,900,900,900,900,0
fixed-control,2.5,3,756,900,900,900,900,0
fixed-control,2.5,4,698,900,900,900,900,0
fixed-control,2.5,5,729,900,900,900,900,0
fixed-control,2.5,6,726,900,900,900,900,0
fixed-control,2.5,7,739,900,900,900,900,0
fixed-control,2.5,8,715,900,900,900,900,0
fixed-control,2.5,9,767,900,900,900,900,0
fixed-control,2.5,10,759,900,900,900,900,0
fixed-control,2.5,11,725,900,900,900,900,0
fixed-control,2.5,12,774,900,900,900,900,0
fixed-control,2.5,13,718,900,900,900,900,0
fixed-control,2.5,14,781,900,900,900,900,0
fixed-control,2.5,15,718,900,900,900,900,0
fixed-control,2.5,16,786,900,900,900,900,0
fixed-control,2.5,17,764,900,900,900,900,0
fixed-control,2.5,18,701,900,900,900,900,0
fixed-control,2.5,19,728,900,900,900,900,0
fixed-control,2.5,20,711,900,900,900,900,0
fixed-control,2.5,21,756,900,900,900,900,0
fixed-control,2.5,22,750,900,900,900,900,0
fixed-control,2.5,23,740,900,900,900,900,0
fixed-control,2.5,24,768,900,900,900,900,0
fixed-control,2.5,25,718,900,900,900,900,0
fixed-control,2.5,26,757,900,900,900,900,0
fixed-control,2.5,27,766,900,900,900,900,0
fixed-control,2.5,28,777,900,900,900,900,0
fixed-control,2.5,29,766,900,900,900,900,0
fixed-control,2.5,30,736,900,900,900,900,0
fixed-control,2.5,31,739,900,900,900,900,0
fixed-control,2.5,32,781,900,900,900,900,0
fixed-control,2.5,33,742,900,900,900,900,0
fixed-control,2.5,34,734,900,900,900,900,0
fixed-control,2.5,35,744,900,900,900,900,0
fixed-control,2.5,36,761,900,900,900,900,0
fixed-control,2.5,37,768,900,900,900,900,0
fixed-control,2.5,38,686,900,900,900,900,0
fixed-control,2.5,39,736,900,900,900,900,0
fixed-control,2.5,40,738,900,900,900,900,0
fixed-control,2.5,41,779,900,900,900,900,0
fixed-control,2.5,42,729,900,900,900,900,0
fixed-control,2.5,43,756,900,900,900,900,0
fixed-control,2.5,44,753,900,900,900,900,0
fixed-control,2.5,45,731,900,900,900,900,0
fixed-control,2.5,46,744,900,900,900,900,0
fixed-control,2.5,47,741,900,900,900,900,0
fixed-control,2.5,48,747,900,900,900,900,0
