repeat,scenario,mode,offered_rps,issued_requests,completed_by_window_end,achieved_rps,p50_ms,p95_ms,p99_ms,max_ms,slo_pass
56,no-pause-80,open_loop,80,4000,4000,80,8.80166094301967,16.0929224564552,20.3591404724757,26.709086166309135,true
56,no-pause-80,closed_loop,80,3957,3957,79.14,9.988625167177815,20.83361637165217,26.742604625927925,44.244696433102945,true
57,no-pause-80,open_loop,80,4000,4000,80,8.849425792344846,16.46329419680842,22.237956558041333,29.774944641205366,true
57,no-pause-80,closed_loop,80,3961,3961,79.22,10.054361599955882,20.468973037217438,27.98104041726765,38.08560841068174,true
58,no-pause-80,open_loop,80,4000,4000,80,8.868474075112317,16.074114344191912,19.60868201165431,33.67721977581823,true
58,no-pause-80,closed_loop,80,3956,3956,79.12,9.910397337327595,21.319379610151373,28.16094103985597,47.16864503688703,true
59,no-pause-80,open_loop,80,4000,3999,80,8.860962436105183,15.910518457516446,21.007548005363788,32.10026161572023,true
59,no-pause-80,closed_loop,80,3965,3965,79.3,9.782170652819332,19.17381855341955,25.236943838914158,36.376509333702415,true
60,no-pause-80,open_loop,80,4000,3999,80,8.822430411913956,16.679102741625684,22.668679863916623,30.420437466324074,true
60,no-pause-80,closed_loop,80,3952,3952,79.04,10.192399385337922,21.803819248030777,29.379492657906667,39.68670553357151,true
61,no-pause-80,open_loop,80,4000,3999,80,8.958352219386143,16.656885171469185,22.148437854109943,37.381076836747525,true
61,no-pause-80,closed_loop,80,3951,3950,79.02,10.218938544865523,21.856364515402674,30.697084159604856,43.63138440131297,true
62,no-pause-80,open_loop,80,4000,3999,80,8.825909909344773,16.75859415649029,21.402463047583296,36.558787414345716,true
62,no-pause-80,closed_loop,80,3963,3962,79.26,9.893315387631446,20.46408525529114,26.703634736855747,35.88917187118932,true
63,no-pause-80,open_loop,80,4000,3999,80,8.977492789854296,16.42564638114709,21.157196909302,33.64231727384322,true
63,no-pause-80,closed_loop,80,3950,3949,79,10.248406063241418,22.357560311895213,29.057371278933715,42.456642771005136,true
64,no-pause-80,open_loop,80,4000,4000,80,8.977506202820223,17.24091945977125,22.04645753650948,36.154645149668795,true
64,no-pause-80,closed_loop,80,3957,3955,79.14,10.032751639431808,21.444718423332233,27.92275393046657,49.167708551787655,true
65,no-pause-80,open_loop,80,4000,3998,80,8.882589144744998,17.04607090693753,23.031375973368995,35.3907352582828,true
