scenario,repeat,replay,criticalPathP50,criticalPathP95,criticalPathP99,deadlineMissRate,toolSecondsP50,toolSecondsP95,toolSecondsP99,meanPairwiseCorrelation
shared_incident,21,column_shuffled,0.4210233316593994,1.6757765850786912,2.7453592582036017,0.065,1.0044087631439038,2.533929752848694,3.566275418811255,-0.00775943457047473
shared_incident,21,incident_stratified,0.3716455114068419,1.5742713238912083,2.7453592582036017,0.0526,0.9175608270510465,3.9802099064385663,5.779039190669005,0.6342291477101788
shared_incident,22,row_preserved,0.3726403335561283,1.5082306520970312,2.680535991086722,0.0508,0.926878682341913,3.7961106919056586,5.927204030442974,0.723148378638467
shared_incident,22,column_shuffled,0.4293269655053675,1.706849886495651,2.8381430936719667,0.071,1.017449794289713,2.514175671589829,3.661091826383551,-0.00010119448197249676
shared_incident,22,incident_stratified,0.3729419304590945,1.6128549127625673,2.8381430936719667,0.058,0.9261120416865216,3.9580623949109675,5.7109104358151885,0.609254622644204
shared_incident,23,row_preserved,0.36982308855418156,1.4222229883330457,2.828802844127916,0.045,0.9162592964788805,3.6335260274724517,6.1792446769233145,0.7206729679471459
shared_incident,23,column_shuffled,0.4158212147746596,1.7330360885500127,2.833658718425872,0.0638,0.9887937925117185,2.525283758163522,3.7195446263309866,-0.005377580260748492
shared_incident,23,incident_stratified,0.3697441507045095,1.5153988103155018,2.828802844127916,0.051,0.9134239621074807,3.839062236866301,5.826655327746142,0.6271698130018141
shared_incident,24,row_preserved,0.37079510980594355,1.4377673060752991,2.7193505444124018,0.0468,0.9189936421366584,3.6667842251970777,6.041361796555639,0.708417649781221
shared_incident,24,column_shuffled,0.42230271466778124,1.6493231594030313,2.8199957223370475,0.062,1.0047192853074352,2.4667012390244607,3.6938550227901903,0.0007962963754051623
shared_incident,24,incident_stratified,0.37088852126656197,1.500871979597918,2.7912949299199448,0.0502,0.9175942367036259,3.7804126160419154,5.6390388632552995,0.6220606395330376
shared_incident,25,row_preserved,0.37125404978749443,1.3269459387495792,2.682330266738492,0.0426,0.9202609823845258,3.5529939942443454,6.01420029824126,0.7219292861853664
shared_incident,25,column_shuffled,0.4178234542450026,1.6600810180428431,2.6945616693176992,0.0626,1.0026397399484974,2.4411409912209745,3.57701215198275,-0.008557132336465696
shared_incident,25,incident_stratified,0.37157714371267136,1.5307306564002368,2.69454151204068,0.0516,0.9184270103012122,3.836479467343765,5.477812340287496,0.6279911003825488
shared_incident,26,row_preserved,0.37028540035051594,1.4195063887880306,2.707786808777313,0.0444,0.9169368109339319,3.610348707420549,6.194297571884354,0.7045008502187593
shared_incident,26,column_shuffled,0.4154555675409172,1.6627809599289414,2.7630470327303196,0.0646,0.9905764345678634,2.488797488902673,3.7092495229030593,0.007104575874416257
shared_incident,26,incident_stratified,0.3718206602940026,1.547197117288146,2.752658834048908,0.0534,0.9226446028335137,3.808894464562898,5.674822009715409,0.6111302895003189
shared_incident,27,row_preserved,0.3679632845242212,1.4866879625169882,2.618510280422558,0.0488,0.914715993345328,3.7430672458089664,5.945579385175762,0.7007548632976398
