load_per_second,fault_shape,policy,repeat,requests,success_rate,attempt_amplification,p95_latency_seconds,peak_attempts_per_second,overload_failures,fault_failures,retries_denied,bad_tick_fraction
60,independent,exponential_full_jitter,31,18190,0.99978009895547,1.0563496426608026,0.1,99,372,657,0,1.0
60,independent,budgeted_full_jitter,31,18190,0.9999450247388675,1.057284222100055,0.1,101,359,684,0,1.0
60,independent,no_retry,32,17755,0.9506617854125599,1.0,0.0,84,235,641,0,1.0
60,independent,immediate_three,32,17755,0.9997183891861448,1.0566600957476766,0.1,95,343,668,0,1.0
60,independent,exponential_no_jitter,32,17755,0.9997747113489158,1.0577302168403266,0.5,90,357,672,0,1.0
60,independent,exponential_full_jitter,32,17755,0.9999436778372289,1.055871585468882,0.1,97,348,645,0,1.0
60,independent,budgeted_full_jitter,32,17755,0.9998310335116869,1.0569417065615319,0.1,95,333,681,0,1.0
60,independent,no_retry,33,18044,0.9521724673021503,1.0,0.0,87,215,648,0,1.0
60,independent,immediate_three,33,18044,0.9997783196630459,1.055420084238528,0.1,111,332,672,0,1.0
60,independent,exponential_no_jitter,33,18044,0.9998337397472844,1.057193526934161,0.5,99,335,700,0,1.0
60,independent,exponential_full_jitter,33,18044,0.9998891598315229,1.0534803812901796,0.1,100,323,644,0,1.0
60,independent,budgeted_full_jitter,33,18044,0.9999445799157615,1.0546996231434271,0.1,99,318,670,0,1.0
60,independent,no_retry,34,17910,0.948464544946957,1.0,0.0,85,292,631,0,1.0
60,independent,immediate_three,34,17910,0.9997766610831937,1.0633165829145728,0.1,99,452,686,0,1.0
60,independent,exponential_no_jitter,34,17910,0.999609156895589,1.0606923506420993,0.5,92,410,684,0,1.0
60,independent,exponential_full_jitter,34,17910,0.9998324958123953,1.057286432160804,0.1,96,403,626,0,1.0
60,independent,budgeted_full_jitter,34,17910,0.999609156895589,1.0586823003908432,0.1,95,404,654,2,1.0
60,independent,no_retry,35,18095,0.9514783089251174,1.0,0.0,89,238,640,0,1.0
60,independent,immediate_three,35,18095,0.9996684166896933,1.0590218292345952,0.1,103,379,695,0,1.0
60,independent,exponential_no_jitter,35,18095,0.9997236805747444,1.0589665653495441,0.5,95,382,690,0,1.0
60,independent,exponential_full_jitter,35,18095,0.9998894722298978,1.0531638574191766,0.1,101,314,650,0,1.0
60,independent,budgeted_full_jitter,35,18095,0.9997236805747444,1.0582481348438795,0.1,100,361,698,0,1.0
60,independent,no_retry,36,17633,0.9544603867747973,1.0,0.0,83,228,575,0,1.0
60,independent,immediate_three,36,17633,0.9996597289173709,1.057562524811433,0.1,111,369,652,0,1.0
60,independent,exponential_no_jitter,36,17633,0.9999432881528951,1.0557477457040776,0.5,93,331,653,0,1.0
60,independent,exponential_full_jitter,36,17633,0.9998298644586854,1.0552373390801337,0.1,95,314,663,0,1.0
60,independent,budgeted_full_jitter,36,17633,0.9999432881528951,1.0568819826461748,0.1,97,347,657,0,1.0
60,independent,no_retry,37,17983,0.9526775287771785,1.0,0.0,86,231,620,0,1.0
60,independent,immediate_three,37,17983,0.9994995273313685,1.0612244897959184,0.1,99,387,723,0,1.0
60,independent,exponential_no_jitter,37,17983,0.9997775677028304,1.0538842239893234,0.5,97,336,637,0,1.0
60,independent,exponential_full_jitter,37,17983,0.9998331757771228,1.0545515208808318,0.1,97,334,650,0,1.0
60,independent,budgeted_full_jitter,37,17983,0.9996107434799533,1.0559417227381416,0.1,102,351,662,0,1.0
60,independent,no_retry,38,17903,0.9530804893034687,1.0,0.0,84,194,646,0,1.0
60,independent,immediate_three,38,17903,0.999776573758588,1.0552421381891304,0.1,106,319,674,0,1.0
60,independent,exponential_no_jitter,38,17903,0.999888286879294,1.054516002904541,0.5,94,307,671,0,1.0
60,independent,exponential_full_jitter,38,17903,0.999888286879294,1.054739429145953,0.1,93,284,698,0,1.0
60,independent,budgeted_full_jitter,38,17903,0.999832430318941,1.053287158576775,0.1,95,293,664,0,1.0
60,independent,no_retry,39,18053,0.9538026920733396,1.0,0.0,85,208,626,0,1.0
60,independent,immediate_three,39,18053,0.9998892150889049,1.0555032404586495,0.1,103,345,659,0,1.0
60,independent,exponential_no_jitter,39,18053,0.9999446075444525,1.0558909876474825,0.5,98,324,686,0,1.0
60,independent,exponential_full_jitter,39,18053,0.9997784301778098,1.0548939234476264,0.1,100,323,672,0,1.0
60,independent,budgeted_full_jitter,39,18053,0.9997784301778098,1.0552262781809119,0.1,98,304,697,0,1.0
60,independent,no_retry,40,17952,0.9499220142602496,1.0,0.0,85,219,680,0,1.0
60,independent,immediate_three,40,17952,0.9996657754010695,1.0540886809269163,0.0,104,350,627,0,1.0
60,independent,exponential_no_jitter,40,17952,0.9997214795008913,1.052584670231729,0.0,95,313,636,0,1.0
60,independent,exponential_full_jitter,40,17952,0.9998328877005348,1.0534202317290553,0.1,100,310,652,0,1.0
60,independent,budgeted_full_jitter,40,17952,0.999777183600713,1.0524732620320856,0.06499999999978172,103,316,630,0,1.0
60,independent,no_retry,41,17667,0.9533027678723043,1.0,0.0,84,201,624,0,1.0
60,independent,immediate_three,41,17667,0.9997169864719534,1.055017829852267,0.1,105,320,657,0,1.0
60,independent,exponential_no_jitter,41,17667,0.9997735891775626,1.0533763513895964,0.0,95,308,639,0,1.0
60,independent,exponential_full_jitter,41,17667,0.9997735891775626,1.0545650082073923,0.1,102,291,677,0,1.0
60,independent,budgeted_full_jitter,41,17667,0.999660383766344,1.0567159110205468,0.1,99,310,698,3,1.0
60,independent,no_retry,42,18014,0.9529255023870323,1.0,0.0,87,249,599,0,1.0
