model,pattern,rate,repeat,policy,throughput_rps,drop_rate,p50_ms,p95_ms,p99_ms,slo_attainment,mean_batch_size
batch-efficient,poisson,90,9,b8-5ms,89.68,0,11.400000000001455,12.660553434474423,13.581073314249807,1,1.3928941908713692
batch-efficient,poisson,90,9,b16-5ms,89.68,0,11.400000000001455,12.660553434474423,13.581073314249807,1,1.3928941908713692
batch-efficient,poisson,90,9,b16-10ms,89.68,0,12.81285739067971,17.48504251527629,17.941887789405882,1,1.6475460122699386
batch-efficient,poisson,90,10,single,92.56,0,8.675156063582108,24.178172406973317,33.035070337540674,0.9559204840103717,1
batch-efficient,poisson,90,10,b4-now,92.56,0,6.898934807373735,12.676766513955954,13.483893240518228,1,1.149179306046125
batch-efficient,poisson,90,10,b4-2ms,92.56,0,8.400000000001455,12.593985424307903,13.447367855547782,1,1.2550487860222372
batch-efficient,poisson,90,10,b8-2ms,92.56,0,8.400000000001455,12.593985424307903,13.447367855547782,1,1.2550487860222372
batch-efficient,poisson,90,10,b8-5ms,92.56,0,11.400000000001455,12.693047079024836,13.614840188842209,1,1.4063056191202645
batch-efficient,poisson,90,10,b16-5ms,92.56,0,11.400000000001455,12.693047079024836,13.614840188842209,1,1.4063056191202645
batch-efficient,poisson,90,10,b16-10ms,92.56,0,12.875834684073197,17.48504251527629,17.941887789405882,1,1.6730187537810042
batch-efficient,poisson,90,11,single,89.8,0,8.03759975619323,22.1149809372655,31.21719088448299,0.9683741648106904,1
batch-efficient,poisson,90,11,b4-now,89.8,0,6.595526086894097,12.504665322820074,13.327380739428918,1,1.1385909568874868
batch-efficient,poisson,90,11,b4-2ms,89.8,0,8.400000000001455,12.59435867630964,13.368937408740749,1,1.2349452554744527
batch-efficient,poisson,90,11,b8-2ms,89.8,0,8.400000000001455,12.593865941897093,13.368937408740749,1,1.2349452554744527
batch-efficient,poisson,90,11,b8-5ms,89.8,0,11.400000000001455,12.637422314612195,13.412128569645574,1,1.3885611695306488
batch-efficient,poisson,90,11,b16-5ms,89.8,0,11.400000000001455,12.637422314612195,13.412128569645574,1,1.3885611695306488
batch-efficient,poisson,90,11,b16-10ms,89.8,0,12.9301639065161,17.485042515272653,17.941887789405882,1,1.6435944140862173
batch-efficient,poisson,90,12,single,88.38,0,8.044787221173465,24.598698448236973,35.68494307385117,0.9531568228105907,1
batch-efficient,poisson,90,12,b4-now,88.38,0,6.472279906585754,12.589983733996633,13.452014732683892,1,1.1377843929406761
batch-efficient,poisson,90,12,b4-2ms,88.38,0,8.400000000001455,12.577753309524269,13.498309437472926,1,1.2380842202683942
batch-efficient,poisson,90,12,b8-2ms,88.38,0,8.400000000001455,12.571138257160783,13.480382269197435,1,1.2386574074074075
batch-efficient,poisson,90,12,b8-5ms,88.38,0,11.400000000001455,12.724411633505952,13.60521789501945,1,1.3826873385012919
batch-efficient,poisson,90,12,b16-5ms,88.38,0,11.400000000001455,12.724411633505952,13.60521789501945,1,1.3826873385012919
batch-efficient,poisson,90,12,b16-10ms,88.38,0,12.936771099866746,17.48504251527629,17.941887789405882,1,1.6353911980440097
batch-efficient,poisson,90,13,single,85.82,0,7.641918319204706,22.038114432994917,33.55227518626634,0.9683057562339781,1
batch-efficient,poisson,90,13,b4-now,85.82,0,6.400000000001455,12.547240413121472,13.463063671733835,1,1.1313465783664458
batch-efficient,poisson,90,13,b4-2ms,85.82,0,8.400000000001455,12.600041728146607,13.401097922658664,1,1.234344894026975
batch-efficient,poisson,90,13,b8-2ms,85.82,0,8.400000000001455,12.600938097733888,13.418541181665205,1,1.2346422548783427
batch-efficient,poisson,90,13,b8-5ms,85.82,0,11.400000000001455,12.679297872735333,13.517638191857259,1,1.3825195575937417
batch-efficient,poisson,90,13,b16-5ms,85.82,0,11.400000000001455,12.679297872735333,13.517638191857259,1,1.3825195575937417
batch-efficient,poisson,90,13,b16-10ms,85.82,0,13.088204310413857,17.48504251527629,17.941887789405882,1,1.638951071314359
batch-efficient,poisson,90,14,single,89.48,0,8.175507846728578,23.704014631821337,33.254045167002914,0.9590970049173,1
batch-efficient,poisson,90,14,b4-now,89.48,0,6.666115643711237,12.6562633087633,13.43273139991652,1,1.1489452375878968
batch-efficient,poisson,90,14,b4-2ms,89.48,0,8.400000000001455,12.628961403861467,13.502797332555929,1,1.2493049119555144
batch-efficient,poisson,90,14,b8-2ms,89.48,0,8.400000000001455,12.62182956948891,13.470762522272707,1,1.2501738928819848
