model,pattern,rate,repeat,policy,throughput_rps,drop_rate,p50_ms,p95_ms,p99_ms,slo_attainment,mean_batch_size
batch-efficient,poisson,90,22,b4-2ms,90.66,0,8.400000000001455,12.56550379696273,13.49360546861135,1,1.2506294346532387
batch-efficient,poisson,90,22,b8-2ms,90.66,0,8.400000000001455,12.56550379696273,13.49360546861135,1,1.2506294346532387
batch-efficient,poisson,90,22,b8-5ms,90.66,0,11.400000000001455,12.767683544654574,13.697957631731697,1,1.4184839044652129
batch-efficient,poisson,90,22,b16-5ms,90.66,0,11.400000000001455,12.767683544654574,13.697957631731697,1,1.4184839044652129
batch-efficient,poisson,90,22,b16-10ms,90.66,0,13.005476687096234,17.48504251527629,17.941887789405882,1,1.6822660098522169
batch-efficient,poisson,90,23,single,89.9,0,8.014004995595315,22.680610669687667,30.699632169737015,0.9668520578420468,1
batch-efficient,poisson,90,23,b4-now,89.9,0,6.5810542071121745,12.550458164212614,13.375400537188398,1,1.1359695495876507
batch-efficient,poisson,90,23,b4-2ms,89.9,0,8.400000000001455,12.519919470545574,13.503870815007758,1,1.2340914311968758
batch-efficient,poisson,90,23,b8-2ms,89.9,0,8.400000000001455,12.519919470545574,13.503870815007758,1,1.2340914311968758
batch-efficient,poisson,90,23,b8-5ms,89.9,0,11.400000000001455,12.573393933242187,13.400741149300302,1,1.3848930136633153
batch-efficient,poisson,90,23,b16-5ms,89.9,0,11.400000000001455,12.573393933242187,13.400741149300302,1,1.3848930136633153
batch-efficient,poisson,90,23,b16-10ms,89.9,0,12.749814865303051,17.485042515272653,17.941887789405882,1,1.6333231985405898
batch-efficient,poisson,90,24,single,89.76,0,8.453710002555454,25.291462150787993,37.869210191267484,0.9476381461675579,1
batch-efficient,poisson,90,24,b4-now,89.76,0,6.803689668056904,12.645758947175636,13.466346608576714,1,1.1514046751018658
batch-efficient,poisson,90,24,b4-2ms,89.76,0,8.400000000001455,12.658611687307712,13.413311743483064,1,1.2582610733536443
batch-efficient,poisson,90,24,b8-2ms,89.76,0,8.400000000001455,12.651717921055024,13.416647651865787,1,1.2582610733536443
batch-efficient,poisson,90,24,b8-5ms,89.76,0,11.400000000001455,12.680204751399287,13.572378104494419,1,1.415129151291513
batch-efficient,poisson,90,24,b16-5ms,89.76,0,11.400000000001455,12.680204751399287,13.572378104494419,1,1.415129151291513
batch-efficient,poisson,90,24,b16-10ms,89.76,0,12.855949064156448,17.48504251527629,17.941887789405882,1,1.6560764959901295
batch-efficient,poisson,90,25,single,90.8,0,8.575916098889138,23.56245015624154,31.6445097853466,0.9627753303964758,1
