repeat,condition,endpoint,deadline,successRate,completedOnlyP95,deadlineAwareP95,latentP95,restrictedMean,timeoutRate
6,no_tail_control,fast_spiky,8,1,1.244490548265448,1.244490548265448,1.244490548265448,0.9185935519638547,0
6,main,steady,16,1,2.3991441841135006,2.3991441841135006,2.3991441841135006,1.6516252801722804,0
6,main,fast_spiky,16,0.9908,7.15810309224981,9.199247033277448,9.199247033277448,1.598643870038501,0.009199999999999986
6,no_tail_control,fast_spiky,16,1,1.244490548265448,1.244490548265448,1.244490548265448,0.9185935519638547,0
7,main,steady,2,0.819,1.9360062187210767,2,2.3794939953669147,1.5939881767540909,0.18100000000000005
7,main,fast_spiky,2,0.937,1.236947977741808,2,9.476008351657619,0.9859541140403045,0.06299999999999994
7,no_tail_control,fast_spiky,2,0.9998,1.2363294482592853,1.2363294482592853,1.2363294482592853,0.9175924256290158,0.00019999999999997797
7,main,steady,4,0.9998,2.3794939953669147,2.3794939953669147,2.3794939953669147,1.649261704953566,0.00019999999999997797
7,main,fast_spiky,4,0.9372,1.2378603267662753,4,9.476008351657619,1.1115658769236678,0.06279999999999997
7,no_tail_control,fast_spiky,4,1,1.2363294482592853,1.2363294482592853,1.2363294482592853,0.9176041885123785,0
7,main,steady,8,1,2.3794939953669147,2.3794939953669147,2.3794939953669147,1.6493619657584018,0
7,main,fast_spiky,8,0.9424,1.2494958890563357,8,9.476008351657619,1.3577721455135492,0.057599999999999985
7,no_tail_control,fast_spiky,8,1,1.2363294482592853,1.2363294482592853,1.2363294482592853,0.9176041885123785,0
7,main,steady,16,1,2.3794939953669147,2.3794939953669147,2.3794939953669147,1.6493619657584018,0
7,main,fast_spiky,16,0.993,8.228512786306288,9.476008351657619,9.476008351657619,1.603636535008631,0.007000000000000006
7,no_tail_control,fast_spiky,16,1,1.2363294482592853,1.2363294482592853,1.2363294482592853,0.9176041885123785,0
8,main,steady,2,0.814,1.925489771789218,2,2.388575643642244,1.5896378211207216,0.18600000000000005
8,main,fast_spiky,2,0.9384,1.2438363630911677,2,9.473305701652373,0.9827845064928544,0.06159999999999999
8,no_tail_control,fast_spiky,2,1,1.2401028994129317,1.2401028994129317,1.2401028994129317,0.9160572384988483,0
8,main,steady,4,1,2.388575643642244,2.388575643642244,2.388575643642244,1.6460480996854985,0
8,main,fast_spiky,4,0.9384,1.2438363630911677,4,9.473305701652373,1.105984506492854,0.06159999999999999
8,no_tail_control,fast_spiky,4,1,1.2401028994129317,1.2401028994129317,1.2401028994129317,0.9160572384988483,0
8,main,steady,8,1,2.388575643642244,2.388575643642244,2.388575643642244,1.6460480996854985,0
8,main,fast_spiky,8,0.9412,1.248161897780835,8,9.473305701652373,1.3499430605992235,0.05879999999999996
8,no_tail_control,fast_spiky,8,1,1.2401028994129317,1.2401028994129317,1.2401028994129317,0.9160572384988483,0
8,main,steady,16,1,2.388575643642244,2.388575643642244,2.388575643642244,1.6460480996854985,0
8,main,fast_spiky,16,0.9928,8.545625641535764,9.473305701652373,9.473305701652373,1.601946237615896,0.007199999999999984
8,no_tail_control,fast_spiky,16,1,1.2401028994129317,1.2401028994129317,1.2401028994129317,0.9160572384988483,0
9,main,steady,2,0.815,1.9273126311276305,2,2.4420215200652913,1.5901806688413236,0.18500000000000005
9,main,fast_spiky,2,0.9446,1.2620258072142128,2,8.484267591304427,0.9775524331485672,0.055400000000000005
9,no_tail_control,fast_spiky,2,1,1.2622521315493427,1.2622521315493427,1.2622521315493427,0.9179967059213284,0
9,main,steady,4,1,2.4420215200652913,2.4420215200652913,2.4420215200652913,1.6505981074901923,0
9,main,fast_spiky,4,0.9446,1.2620258072142128,4,8.484267591304427,1.0883524331485668,0.055400000000000005
9,no_tail_control,fast_spiky,4,1,1.2622521315493427,1.2622521315493427,1.2622521315493427,0.9179967059213284,0
9,main,steady,8,1,2.4420215200652913,2.4420215200652913,2.4420215200652913,1.6505981074901923,0
9,main,fast_spiky,8,0.9478,1.2749713011531452,8,8.484267591304427,1.3078482920768344,0.052200000000000024
9,no_tail_control,fast_spiky,8,1,1.2622521315493427,1.2622521315493427,1.2622521315493427,0.9179967059213284,0
9,main,steady,16,1,2.4420215200652913,2.4420215200652913,2.4420215200652913,1.6505981074901923,0
9,main,fast_spiky,16,0.9914,1.57110634793504,8.484267591304427,8.484267591304427,1.5382961715252608,0.008600000000000052
9,no_tail_control,fast_spiky,16,1,1.2622521315493427,1.2622521315493427,1.2622521315493427,0.9179967059213284,0
10,main,steady,2,0.8246,1.927278188561839,2,2.3729156680745866,1.5806269899934031,0.1754
10,main,fast_spiky,2,0.946,1.2335943354348107,2,8.49369049515932,0.9693067945793947,0.05400000000000005
10,no_tail_control,fast_spiky,2,1,1.2335943354348107,1.2335943354348107,1.2335943354348107,0.91000194546781,0
10,main,steady,4,1,2.3729156680745866,2.3729156680745866,2.3729156680745866,1.632408584029191,0
10,main,fast_spiky,4,0.946,1.2335943354348107,4,8.49369049515932,1.0773067945793962,0.05400000000000005
10,no_tail_control,fast_spiky,4,1,1.2335943354348107,1.2335943354348107,1.2335943354348107,0.91000194546781,0
10,main,steady,8,1,2.3729156680745866,2.3729156680745866,2.3729156680745866,1.632408584029191,0
10,main,fast_spiky,8,0.9486,1.2421133202435075,8,8.49369049515932,1.2909695187682408,0.0514
10,no_tail_control,fast_spiky,8,1,1.2335943354348107,1.2335943354348107,1.2335943354348107,0.91000194546781,0
10,main,steady,16,1,2.3729156680745866,2.3729156680745866,2.3729156680745866,1.632408584029191,0
