scenario,repeat,policy,allCoverage,allMeanWidth,routineCoverage,routineMeanWidth,criticalCoverage,criticalMeanWidth,coverageGap,criticalCount
exchangeable_rare_noisy,24,mondrian,0.8983333333333333,1.7948967294242144,0.8992288818787242,1.641875358743826,0.8809523809523809,4.764760474673817,0.018276500926343253,588
exchangeable_rare_noisy,24,max_slice,0.9941666666666666,4.7647604746743,1,4.764760474674294,0.8809523809523809,4.764760474673817,0.11904761904761907,588
exchangeable_rare_noisy,24,oracle_normalized,0.8980833333333333,1.7995975731198368,0.8982649842271293,1.6389777532967615,0.8945578231292517,4.916933259889779,0.0037071610978776093,588
exchangeable_rare_noisy,25,pooled,0.8923333333333333,1.754950712264228,0.917904544255955,1.7549507122642427,0.42536115569823435,1.7549507122644223,0.4925433885577207,623
exchangeable_rare_noisy,25,pooled_95,0.94125,2.1386215216518787,0.9657203129120154,2.138621521651891,0.4943820224719101,2.138621521652178,0.47133829044010533,623
exchangeable_rare_noisy,25,mondrian,0.8920833333333333,1.8039678138594142,0.8914476575547157,1.623757635119571,0.9036918138041734,5.094900724811404,-0.012244156249457738,623
exchangeable_rare_noisy,25,max_slice,0.995,5.094900724812364,1,5.094900724812343,0.9036918138041734,5.094900724811404,0.0963081861958266,623
exchangeable_rare_noisy,25,oracle_normalized,0.8924166666666666,1.7985232363295485,0.8927661070580997,1.6293431100675422,0.8860353130016051,4.888029330202128,0.006730794056494571,623
exchangeable_rare_noisy,26,pooled,0.90525,1.7951384873594236,0.927791844931459,1.7951384873594196,0.43327239488117003,1.795138487359082,0.494519450050289,547
exchangeable_rare_noisy,26,pooled_95,0.952,2.2052047835389152,0.9728455426525802,2.205204783538928,0.5155393053016454,2.2052047835394077,0.4573062373509348,547
exchangeable_rare_noisy,26,mondrian,0.9004166666666666,1.8024275417479014,0.901947088099188,1.66379408635102,0.8683729433272395,4.7051130347290355,0.03357414477194853,547
exchangeable_rare_noisy,26,max_slice,0.994,4.705113034729787,1,4.705113034729693,0.8683729433272395,4.7051130347290355,0.13162705667276053,547
exchangeable_rare_noisy,26,oracle_normalized,0.8991666666666667,1.8046478862638575,0.8998515672749497,1.6538700653096348,0.8848263254113345,4.961610195928773,0.015025241863615202,547
exchangeable_rare_noisy,27,pooled,0.8946666666666667,1.7549601042032412,0.9168933742869679,1.7549601042031662,0.47603305785123967,1.7549601042028375,0.44086031643572826,605
exchangeable_rare_noisy,27,pooled_95,0.94725,2.160160472751392,0.9677051338306275,2.1601604727514045,0.5619834710743802,2.160160472751836,0.4057216627562473,605
exchangeable_rare_noisy,27,mondrian,0.8953333333333333,1.800391827027147,0.8946028960070206,1.6325994852798669,0.9090909090909091,4.9607120488585705,-0.014488013083888474,605
exchangeable_rare_noisy,27,max_slice,0.9954166666666666,4.960712048858207,1,4.960712048858212,0.9090909090909091,4.9607120488585705,0.09090909090909094,605
exchangeable_rare_noisy,27,oracle_normalized,0.8951666666666667,1.7972199333791103,0.8946028960070206,1.6325994852798669,0.9057851239669421,4.897798455839612,-0.01118222795992152,605
exchangeable_rare_noisy,28,pooled,0.8985,1.770886407354885,0.9238195541513077,1.770886407354941,0.42244224422442245,1.7708864073548392,0.5013773099268852,606
exchangeable_rare_noisy,28,pooled_95,0.9445833333333333,2.155333796224101,0.967790064946463,2.1553337962240517,0.5082508250825083,2.1553337962238173,0.45953923986395473,606
exchangeable_rare_noisy,28,mondrian,0.9063333333333333,1.8418961638319413,0.9073196419167984,1.6784008003139135,0.8877887788778878,4.915932751170202,0.019530863038910606,606
exchangeable_rare_noisy,28,max_slice,0.9943333333333333,4.915932751171397,1,4.915932751171291,0.8877887788778878,4.915932751170202,0.11221122112211224,606
exchangeable_rare_noisy,28,oracle_normalized,0.9055833333333333,1.8443734614895284,0.9062664560294892,1.6751802556669935,0.8927392739273927,5.025540767001221,0.013527182102096469,606
exchangeable_rare_noisy,29,pooled,0.8986666666666666,1.767577399867233,0.9208980092957993,1.7675773998672373,0.474036850921273,1.7675773998675,0.44686115837452633,597
exchangeable_rare_noisy,29,pooled_95,0.9541666666666667,2.230881580285332,0.9742173112338858,2.2308815802852853,0.5711892797319933,2.230881580285016,0.4030280315018925,597
exchangeable_rare_noisy,29,mondrian,0.8916666666666667,1.783795547183995,0.8901166359729895,1.6125011279888632,0.9212730318257957,5.0556050314129,-0.031156395852806162,597
exchangeable_rare_noisy,29,max_slice,0.9960833333333333,5.055605031412079,1,5.0556050314120995,0.9212730318257957,5.0556050314129,0.07872696817420433,597
exchangeable_rare_noisy,29,oracle_normalized,0.8911666666666667,1.7751520264430845,0.8905551170744541,1.6145084369652543,0.9028475711892797,4.843525310895831,-0.012292454114825602,597
exchangeable_rare_noisy,30,pooled,0.9016666666666666,1.7862372610401336,0.9252393920759027,1.7862372610401522,0.46677471636953,1.7862372610406754,0.45846467570637267,617
exchangeable_rare_noisy,30,pooled_95,0.9499166666666666,2.1968121456083525,0.9715365018009312,2.196812145608349,0.5510534846029174,2.1968121456080456,0.42048301719801384,617
exchangeable_rare_noisy,30,mondrian,0.89725,1.8078799932332827,0.8987086005446718,1.6527180525554084,0.8703403565640194,4.670454338024562,0.028368243980652408,617
exchangeable_rare_noisy,30,max_slice,0.9933333333333333,4.670454338025188,1,4.6704543380251655,0.8703403565640194,4.670454338024562,0.12965964343598058,617
exchangeable_rare_noisy,30,oracle_normalized,0.8975833333333333,1.8168035692819566,0.898093648423087,1.6473963148997885,0.8881685575364667,4.9421889446985,0.009925090886620302,617
exchangeable_rare_noisy,31,pooled,0.893,1.752034586283454,0.9184138959557856,1.7520345862834719,0.41098169717138106,1.7520345862839077,0.5074321987844046,601
exchangeable_rare_noisy,31,pooled_95,0.9455833333333333,2.1576867771585206,0.9690323712606369,2.1576867771585357,0.5008319467554077,2.157686777159138,0.46820042450522925,601
exchangeable_rare_noisy,31,mondrian,0.89625,1.7946479070884929,0.8981489604351259,1.6511630107576991,0.8602329450915142,4.516086065619538,0.037916015343611775,601
exchangeable_rare_noisy,31,max_slice,0.993,4.516086065618399,1,4.516086065618428,0.8602329450915142,4.516086065619538,0.13976705490848584,601
exchangeable_rare_noisy,31,oracle_normalized,0.8955833333333333,1.8041208765159524,0.895604877620844,1.63986142388967,0.8951747088186356,4.919584271669019,0.00043016880220836384,601
exchangeable_rare_noisy,32,pooled,0.89675,1.7693044345141267,0.9205665024630542,1.769304434514123,0.46835443037974683,1.7693044345138855,0.4522120720833073,632
exchangeable_rare_noisy,32,pooled_95,0.9535833333333333,2.2546386765935136,0.9751935256861365,2.2546386765935162,0.564873417721519,2.2546386765937476,0.4103201079646175,632
exchangeable_rare_noisy,32,mondrian,0.8966666666666666,1.8074587716724575,0.896551724137931,1.6401795403576955,0.8987341772151899,4.816367476713217,-0.002182453077258839,632
exchangeable_rare_noisy,32,max_slice,0.9946666666666667,4.816367476712937,1,4.816367476712939,0.8987341772151899,4.816367476713217,0.10126582278481011,632
exchangeable_rare_noisy,32,oracle_normalized,0.897,1.8128668081969739,0.896551724137931,1.6401086925785184,0.9050632911392406,4.920326077735473,-0.008511567001309506,632
exchangeable_rare_noisy,33,pooled,0.8935833333333333,1.7638519439350806,0.9191040843214756,1.7638519439350768,0.4211382113821138,1.7638519439348381,0.4979658729393618,615
exchangeable_rare_noisy,33,pooled_95,0.9425,2.1436468656539187,0.9659200702678964,2.143646865653922,0.5089430894308943,2.1436468656541074,0.4569769808370021,615
exchangeable_rare_noisy,33,mondrian,0.8935,1.807686967574886,0.8925779534475187,1.6184807478640186,0.9105691056910569,5.310309425149654,-0.0179911522435382,615
exchangeable_rare_noisy,33,max_slice,0.9954166666666666,5.31030942514926,1,5.310309425149265,0.9105691056910569,5.310309425149654,0.08943089430894313,615
exchangeable_rare_noisy,33,oracle_normalized,0.8925833333333333,1.7889737536338413,0.8931927975406236,1.6226519307334848,0.8813008130081301,4.867955792200856,0.011891984532493516,615
exchangeable_rare_noisy,34,pooled,0.9121666666666667,1.8382904620045326,0.934163233102481,1.8382904620045184,0.48903878583473864,1.8382904620041314,0.4451244472677423,593
