scenario,repeat,policy,completionRate,p50Latency,p95Latency,p99Latency,workSecondsPerRequest,hedgeRate,hedgeWinRate,maxQueueDepth,canceledQueuedPerRequest
moderate_independent,33,fixed_250ms,1,0.18890992511163063,0.4164964435281888,0.5281922634052592,0.23511271280836726,0.2675,0.29439252336448596,2,0.266875
moderate_independent,33,fixed_500ms,1,0.18890992511163063,0.566383166268043,0.7591078843373964,0.23334147795181553,0.059375,0.7578947368421053,2,0.059375
moderate_independent,33,queue_capped_250ms,1,0.18890992511163063,0.4164964435281888,0.5281922634052592,0.23511271280836726,0.2675,0.29439252336448596,2,0.266875
moderate_independent,34,no_hedge,1,0.1976474158974355,1.8059983194554547,3.4296678857754532,0.34200661762653767,0,0,2,0
moderate_independent,34,fixed_250ms,1,0.19651057325587828,0.4364416233453454,0.6086943485085925,0.2519004804949786,0.2925,0.32905982905982906,2,0.2925
moderate_independent,34,fixed_500ms,1,0.19560776721277762,0.6452026273233464,0.802034355294488,0.25408314014598676,0.079375,0.7637795275590551,2,0.079375
moderate_independent,34,queue_capped_250ms,1,0.19651057325587828,0.4364416233453454,0.6086943485085925,0.2519004804949786,0.2925,0.32905982905982906,2,0.2925
moderate_independent,35,no_hedge,1,0.1910322288630084,1.4244153367366152,3.506721449925209,0.3194530496694367,0,0,2,0
moderate_independent,35,fixed_250ms,1,0.18925483009576283,0.4246207535525457,0.5742213192358783,0.2499547243087398,0.271875,0.2620689655172414,2,0.271875
moderate_independent,35,fixed_500ms,1,0.18932461175280224,0.6112149439560852,0.8229125964335964,0.24930910991993976,0.065625,0.819047619047619,2,0.065
moderate_independent,35,queue_capped_250ms,1,0.18925483009576283,0.4246207535525457,0.5742213192358783,0.2499547243087398,0.271875,0.2620689655172414,2,0.271875
moderate_independent,36,no_hedge,1,0.1935977476650983,0.8029804314451496,3.2263265413554265,0.3102449011778961,0,0,3,0
moderate_independent,36,fixed_250ms,1,0.19359033441573104,0.43988679550174936,0.56921393294094,0.24898403912366565,0.28875,0.2792207792207792,3,0.288125
moderate_independent,36,fixed_500ms,1,0.19261216275921322,0.5895358547109915,0.7939835544342628,0.24434808293854812,0.065625,0.7047619047619048,3,0.065625
moderate_independent,36,queue_capped_250ms,1,0.19359033441573104,0.43988679550174936,0.5653512839636718,0.24878403912366578,0.2875,0.28043478260869564,3,0.286875
moderate_independent,37,no_hedge,1,0.190263502395851,0.8124043386009703,3.1719971250932133,0.3046184030588611,0,0,2,0
moderate_independent,37,fixed_250ms,1,0.190219053126242,0.415344726190888,0.5899359150222026,0.23929964785906732,0.25375,0.2561576354679803,2,0.25375
moderate_independent,37,fixed_500ms,1,0.18952067538271677,0.5655252827868154,0.8290304800332251,0.23737523770166202,0.055,0.8181818181818182,2,0.055
moderate_independent,37,queue_capped_250ms,1,0.190219053126242,0.415344726190888,0.5899359150222026,0.23929964785906732,0.25375,0.2561576354679803,2,0.25375
moderate_independent,38,no_hedge,1,0.19049600858181748,1.1410588941254218,3.6550946872169803,0.30913638548448225,0,0,2,0
moderate_independent,38,fixed_250ms,1,0.18728264594177801,0.40722044696317994,0.5340605100016091,0.23698543772945077,0.255625,0.2567237163814181,2,0.255
moderate_independent,38,fixed_500ms,1,0.18735248439165275,0.5576503093060197,0.7563160951824415,0.23485874089351433,0.05375,0.8604651162790697,2,0.053125
moderate_independent,38,queue_capped_250ms,1,0.18728264594177801,0.40722044696317994,0.5340605100016091,0.23698543772945077,0.255625,0.2567237163814181,2,0.255
moderate_independent,39,no_hedge,1,0.19072756974925653,1.0236517082310286,3.8705887137906316,0.32156262712488437,0,0,2,0
moderate_independent,39,fixed_250ms,1,0.18908631613243188,0.42564429917626967,0.5850171859132516,0.2448017761661089,0.28,0.30580357142857145,2,0.28
moderate_independent,39,fixed_500ms,1,0.18953626631346054,0.6062598817082936,0.8520530626866929,0.24308187446265545,0.068125,0.7064220183486238,3,0.068125
moderate_independent,39,queue_capped_250ms,1,0.18908631613243188,0.42564429917626967,0.5850171859132516,0.2448017761661089,0.28,0.30580357142857145,2,0.28
moderate_independent,40,no_hedge,0.99875,0.2003959502337267,2.3822988655080053,3.8069634864431094,0.3697462668292949,0,0,3,0
moderate_independent,40,fixed_250ms,1,0.1919381042283348,0.455645883741969,0.6146832693378883,0.25168149298822856,0.2875,0.3717391304347826,2,0.2875
moderate_independent,40,fixed_500ms,1,0.19171675026861168,0.6518301919719107,0.8425111220674193,0.25645631574168726,0.08625,0.8115942028985508,2,0.08625
moderate_independent,40,queue_capped_250ms,1,0.1919381042283348,0.455645883741969,0.6146832693378883,0.25168149298822856,0.2875,0.3717391304347826,2,0.2875
moderate_independent,41,no_hedge,1,0.19342497649589774,1.5249353521061266,3.8401923719273015,0.32426711345715875,0,0,3,0
moderate_independent,41,fixed_250ms,1,0.1895061545896084,0.42185115261888484,0.5701069292351875,0.24615572312218859,0.27,0.30787037037037035,2,0.269375
moderate_independent,41,fixed_500ms,1,0.18841935464248039,0.6130873024507082,0.8134231768858768,0.24516508401172948,0.066875,0.794392523364486,2,0.066875
moderate_independent,41,queue_capped_250ms,1,0.1895061545896084,0.42185115261888484,0.5701069292351875,0.24615572312218859,0.27,0.30787037037037035,2,0.269375
moderate_independent,42,no_hedge,1,0.19195542626048478,1.3807039350314056,3.049702564176201,0.3182687730218607,0,0,2,0
moderate_independent,42,fixed_250ms,1,0.1917540709900578,0.42737859522378585,0.601722731901809,0.24995057154146888,0.27875,0.3116591928251121,2,0.27875
moderate_independent,42,fixed_500ms,1,0.19161045158082857,0.6001831508208113,0.7851050258289405,0.24770545646407108,0.064375,0.8543689320388349,2,0.064375
moderate_independent,42,queue_capped_250ms,1,0.1917540709900578,0.42737859522378585,0.601722731901809,0.24995057154146888,0.27875,0.3116591928251121,2,0.27875
moderate_independent,43,no_hedge,1,0.19351268736275173,1.6757536274329183,3.329741476293421,0.3337046614819464,0,0,2,0
moderate_independent,43,fixed_250ms,1,0.19118174043805425,0.4497628858181315,0.6421915113544685,0.25347012295083216,0.2875,0.29782608695652174,2,0.2875
moderate_independent,43,fixed_500ms,1,0.1913032600498461,0.6397710033791384,0.8462663800514871,0.2527756023240768,0.079375,0.7795275590551181,2,0.079375
moderate_independent,43,queue_capped_250ms,1,0.19118174043805425,0.4497628858181315,0.6421915113544685,0.25347012295083216,0.2875,0.29782608695652174,2,0.2875
moderate_independent,44,no_hedge,1,0.19062846810415301,1.111045810172417,2.993984339642765,0.3013340249829458,0,0,2,0
moderate_independent,44,fixed_250ms,1,0.19038185464782487,0.408600697832469,0.5313895812038396,0.23860008404063926,0.269375,0.27610208816705334,2,0.269375
moderate_independent,44,fixed_500ms,1,0.19038185464782487,0.5895006476335567,0.7813895812037899,0.23821300278396418,0.058125,0.8064516129032258,2,0.058125
moderate_independent,44,queue_capped_250ms,1,0.19038185464782487,0.408600697832469,0.5313895812038396,0.23860008404063926,0.269375,0.27610208816705334,2,0.269375
moderate_independent,45,no_hedge,0.999375,0.18845024916839748,1.0038235320723885,3.800418063742484,0.30680721345468387,0,0,2,0
moderate_independent,45,fixed_250ms,1,0.1865219930759423,0.4191554013681582,0.5737899243460252,0.24020024046168015,0.258125,0.2784503631961259,2,0.2575
moderate_independent,45,fixed_500ms,1,0.18648830135170863,0.5498428048143467,0.8037158861250475,0.23837745263086382,0.055625,0.797752808988764,2,0.055625
moderate_independent,45,queue_capped_250ms,1,0.1865219930759423,0.4191554013681582,0.5737899243460252,0.24020024046168015,0.258125,0.2784503631961259,2,0.2575
moderate_independent,46,no_hedge,1,0.19788456090783768,1.3317111049075834,3.4009222646988064,0.3165859448353043,0,0,3,0
moderate_independent,46,fixed_250ms,1,0.19516166233434262,0.42186191345878044,0.5777010459823941,0.2467177248800562,0.27625,0.27828054298642535,2,0.275625
moderate_independent,46,fixed_500ms,1,0.19406673076582592,0.6080315424077165,0.7875946048276106,0.24449103040305714,0.06,0.7916666666666666,2,0.059375
moderate_independent,46,queue_capped_250ms,1,0.19516166233434262,0.42186191345878044,0.5777010459823941,0.2467177248800562,0.27625,0.27828054298642535,2,0.275625
moderate_independent,47,no_hedge,1,0.19438647663896802,1.4874307683490002,3.498804367391184,0.32319189676106796,0,0,2,0
